Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
I6Y0R5	folic acid biosynthetic process [GO:0046656]; folic acid-containing compound biosynthetic process [GO:0009396]; response to antibiotic [GO:0046677]; tetrahydrofolate biosynthetic process [GO:0046654]	ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	cytoplasm [GO:0005737]
I6Y1Q2	negative regulation of DNA-templated transcription [GO:0045892]	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; sequence-specific DNA binding [GO:0043565]; transition metal ion binding [GO:0046914]	cytoplasm [GO:0005737]
I6Y2J4	lipid catabolic process [GO:0016042]	acetylesterase activity [GO:0008126]; triacylglycerol lipase activity [GO:0004806]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]
I6Y3Q0	cholesterol catabolic process [GO:0006707]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]	
I6Y4D2	cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan catabolic process [GO:0009253]	metal ion binding [GO:0046872]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]	outer membrane-bounded periplasmic space [GO:0030288]
I6Y4U9		heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	cytosol [GO:0005829]; encapsulin nanocompartment [GO:0140737]
I6Y778	fatty acid metabolic process [GO:0006631]	3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0047025]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	
I6Y9J2	cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	acyltransferase activity [GO:0016746]; metal ion binding [GO:0046872]; peptidoglycan L,D-transpeptidase activity [GO:0071972]	plasma membrane [GO:0005886]
I6Y9Q3	carbohydrate metabolic process [GO:0005975]; propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]	2-methylcitrate synthase activity [GO:0050440]; citrate synthase activity [GO:0036440]	cytoplasm [GO:0005737]
I6YBQ3	response to amino acid [GO:0043200]	sequence-specific DNA binding [GO:0043565]	cytosol [GO:0005829]
I6YCA3	cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	
I6YFP0	positive regulation of cell population proliferation [GO:0008284]	ATP binding [GO:0005524]; biotin binding [GO:0009374]; biotin--[biotin carboxyl-carrier protein] ligase activity [GO:0004077]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]; protein-containing complex [GO:0032991]
I6YG32	N-terminal protein amino acid acetylation [GO:0006474]	protein N-terminal-methionine acetyltransferase activity [GO:0120518]; protein N-terminal-serine acetyltransferase activity [GO:1990189]; protein-N-terminal amino-acid acetyltransferase activity [GO:0004596]; protein-N-terminal-alanine acetyltransferase activity [GO:0008999]	
I6YHB0		DNA binding [GO:0003677]	plasma membrane [GO:0005886]
L0T905	regulation of DNA-templated transcription [GO:0006355]	anti-sigma factor antagonist activity [GO:0043856]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
L0T911	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	penicillin binding [GO:0008658]	plasma membrane [GO:0005886]
L0TC47	cellular response to acidic pH [GO:0071468]; fatty acid catabolic process [GO:0009062]	carboxylesterase activity [GO:0106435]; fatty acid binding [GO:0005504]; hydrolase activity [GO:0016787]; lipase activity [GO:0016298]	
O05306	cytokinin biosynthetic process [GO:0009691]	cytokinin riboside 5'-monophosphate phosphoribohydrolase activity [GO:0102682]; hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]	cytosol [GO:0005829]
O05307	long-chain fatty acid import into cell [GO:0044539]; long-chain fatty acid metabolic process [GO:0001676]	ATP binding [GO:0005524]; long-chain fatty acid transmembrane transporter activity [GO:0005324]; long-chain fatty acid-CoA ligase activity [GO:0004467]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	plasma membrane [GO:0005886]
O05442	monoatomic ion transport [GO:0006811]; symbiont-mediated killing of host cell [GO:0001907]	NAD+ nucleosidase activity [GO:0003953]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; NADP+ nucleosidase activity [GO:0050135]; porin activity [GO:0015288]; toxin activity [GO:0090729]	cell outer membrane [GO:0009279]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular region [GO:0005576]; host cell cytosol [GO:0044164]; peptidoglycan-based cell wall [GO:0009274]; pore complex [GO:0046930]
O05461	protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of secretion [GO:0051046]; symbiont-mediated perturbation of host process [GO:0044003]	serine-type endopeptidase activity [GO:0004252]	cell surface [GO:0009986]; plasma membrane [GO:0005886]
O05581		acetyltransferase activity [GO:0016407]; acyltransferase activity [GO:0016746]; cAMP binding [GO:0030552]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
O05858	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	plasma membrane [GO:0005886]
O05877	GTP biosynthetic process [GO:0006183]	GTP binding [GO:0005525]; polyphosphate kinase activity [GO:0008976]	plasma membrane [GO:0005886]
O06218		peroxiredoxin activity [GO:0051920]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06319	lipid catabolic process [GO:0016042]	carboxylesterase activity [GO:0106435]; hydrolase activity, acting on ester bonds [GO:0016788]; lipase activity [GO:0016298]; phospholipase A2 activity [GO:0004623]	plasma membrane [GO:0005886]
O06350		carboxylesterase activity [GO:0106435]; phosphatidylcholine phospholipase C activity [GO:0034480]; phospholipase C activity [GO:0004629]; triacylglycerol lipase activity [GO:0004806]	
O06428	geranylgeranyl diphosphate biosynthetic process [GO:0033386]; isoprenoid biosynthetic process [GO:0008299]	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity [GO:0052924]; geranylgeranyl diphosphate synthase activity [GO:0004311]; metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O06543	acyl-CoA metabolic process [GO:0006637]; lipid metabolic process [GO:0006629]	alpha-methylacyl-CoA racemase activity [GO:0008111]; protein homodimerization activity [GO:0042803]	
O06582	cholesterol metabolic process [GO:0008203]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; response to acidic pH [GO:0010447]; tricarboxylic acid cycle [GO:0006099]	2-methylcitrate dehydratase activity [GO:0047547]; aconitate hydratase activity [GO:0003994]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
O06769	ceramide catabolic process [GO:0046514]; long-chain fatty acid biosynthetic process [GO:0042759]; sphingosine biosynthetic process [GO:0046512]	metal ion binding [GO:0046872]; N-acylsphingosine amidohydrolase activity [GO:0017040]	extracellular region [GO:0005576]; membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]
O07427	glycerolipid catabolic process [GO:0046503]; symbiont-mediated activation of host apoptosis [GO:0052151]	lipase activity [GO:0016298]; monoacylglycerol lipase activity [GO:0047372]	extracellular region [GO:0005576]; membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O07732	cAMP biosynthetic process [GO:0006171]; intracellular signal transduction [GO:0035556]; lipid metabolic process [GO:0006629]	adenylate cyclase activity [GO:0004016]; hydrolase activity [GO:0016787]; manganese ion binding [GO:0030145]; protein homodimerization activity [GO:0042803]	
O07783	symbiont-mediated perturbation of host process [GO:0044003]	hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; toxin sequestering activity [GO:0097351]	extracellular region [GO:0005576]
O33194	glycerol metabolic process [GO:0006071]; glycerophospholipid catabolic process [GO:0046475]	cobalt ion binding [GO:0050897]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphatase activity [GO:0016791]; protein homodimerization activity [GO:0042803]; sn-glycerol 1-phosphatase activity [GO:0000121]	cytoplasm [GO:0005737]
O33283	epoxide metabolic process [GO:0097176]	cholesterol-5,6-oxide hydrolase activity [GO:0033963]; epoxide hydrolase activity [GO:0004301]	plasma membrane [GO:0005886]
O33289	L-arginine biosynthetic process via ornithine [GO:0042450]; protein homotetramerization [GO:0051289]	L-glutamate N-acetyltransferase activity [GO:0004042]; N-acetyltransferase activity [GO:0008080]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]
O33336	enterobactin biosynthetic process [GO:0009239]; siderophore biosynthetic process [GO:0019290]; siderophore metabolic process [GO:0009237]	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]	enterobactin synthetase complex [GO:0009366]; plasma membrane [GO:0005886]
O33348	mRNA catabolic process [GO:0006402]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of growth [GO:0045926]; RNA catabolic process [GO:0006401]	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]	
O33363	lipid catabolic process [GO:0016042]	carboxylic ester hydrolase activity [GO:0052689]	extracellular region [GO:0005576]
O50406	cellular response to magnesium starvation [GO:0010350]; geranylgeranyl diphosphate metabolic process [GO:0033385]; tuberculosinol biosynthetic process [GO:0035440]	halimadienyl-diphosphate synthase activity [GO:0035439]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	
O50461	mRNA catabolic process [GO:0006402]; negative regulation of growth [GO:0045926]; RNA catabolic process [GO:0006401]	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]	
O53166	propionate metabolic process, methylcitrate cycle [GO:0019679]; response to iron ion [GO:0010039]; tricarboxylic acid cycle [GO:0006099]	2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; iron-responsive element binding [GO:0030350]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53168	cell wall organization [GO:0071555]; cell wall organization or biogenesis [GO:0071554]; proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]
O53177	negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; quorum sensing [GO:0009372]; regulation of cell population proliferation [GO:0042127]	hydrolase activity [GO:0016787]	extracellular region [GO:0005576]
O53181	tricarboxylic acid cycle [GO:0006099]	2-oxoglutarate synthase activity [GO:0047553]; magnesium ion binding [GO:0000287]; oxidoreductase activity [GO:0016491]; thiamine pyrophosphate binding [GO:0030976]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
O53289	dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]; protein dephosphorylation [GO:0006470]; symbiont-mediated perturbation of host actin cytoskeleton via actin filament reorganization [GO:0141032]	amino acid binding [GO:0016597]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; protein serine/threonine phosphatase activity [GO:0004722]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; host cell cytosol [GO:0044164]
O53353	cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]	cytoplasm [GO:0005737]
O53361	NADP+ catabolic process [GO:0006742]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; symbiont-mediated suppression of host innate immune response [GO:0052170]	acid phosphatase activity [GO:0003993]; phosphatase activity [GO:0016791]; phosphatidylinositol-3-phosphate phosphatase activity [GO:0004438]; phosphoenolpyruvate phosphatase activity [GO:0050189]; phosphoglycerate phosphatase activity [GO:0050192]; trehalose-phosphatase activity [GO:0004805]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; host cell cytoplasmic vesicle [GO:0044161]; peptidoglycan-based cell wall [GO:0009274]
O53423		acetylesterase activity [GO:0008126]; phosphatidylcholine lysophospholipase activity [GO:0004622]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53424		acetylesterase activity [GO:0008126]; triacylglycerol lipase activity [GO:0004806]	extracellular region [GO:0005576]
O53443		5'-3' RNA helicase activity [GO:0032574]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O53493	glycolipid biosynthetic process [GO:0009247]; lipoprotein biosynthetic process [GO:0042158]; symbiont-mediated perturbation of host innate immune response [GO:0052167]	dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]; hydrolase activity [GO:0016787]; N-acyltransferase activity [GO:0016410]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53512	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; protein homooligomerization [GO:0051260]	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; manganese ion binding [GO:0030145]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53547	cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation [GO:0006635]	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity [GO:0003857]; enoyl-CoA hydratase activity [GO:0004300]	
O53551	Actinobacterium-type cell wall biogenesis [GO:0071766]; lipid biosynthetic process [GO:0008610]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty acid import into cell [GO:0044539]; long-chain fatty acid metabolic process [GO:0001676]	ATP binding [GO:0005524]; cholate-CoA ligase activity [GO:0047747]; long-chain fatty acid transmembrane transporter activity [GO:0005324]; long-chain fatty acid-CoA ligase activity [GO:0004467]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O53561	cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation [GO:0006635]	lyase activity [GO:0016829]	
O53580	Actinobacterium-type cell wall biogenesis [GO:0071766]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]; mycolate cell wall layer assembly [GO:0071769]	adenylyltransferase activity [GO:0070566]; ATP binding [GO:0005524]; ligase activity [GO:0016874]; long-chain fatty acid [acyl-carrier-protein] ligase activity [GO:0008922]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53581	lipid catabolic process [GO:0016042]	carboxylesterase activity [GO:0106435]; fatty acyl-CoA hydrolase activity [GO:0047617]; lipase activity [GO:0016298]; phospholipase A1 activity [GO:0008970]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53585	capsule polysaccharide biosynthetic process [GO:0045227]; cell wall macromolecule biosynthetic process [GO:0044038]; cell wall organization [GO:0071555]; cell wall polysaccharide biosynthetic process [GO:0070592]; lipopolysaccharide biosynthetic process [GO:0009103]; mycolate cell wall layer assembly [GO:0071769]; polysaccharide biosynthetic process [GO:0000271]; UDP-D-galactose metabolic process [GO:0052573]	glycosyltransferase activity [GO:0016757]; hexosyltransferase activity [GO:0016758]; lipopolysaccharide-1,5-galactosyltransferase activity [GO:0035496]; lipopolysaccharide-1,6-galactosyltransferase activity [GO:0008921]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]; UDP-galactosyltransferase activity [GO:0035250]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O53605	DNA damage response [GO:0006974]; purine nucleoside metabolic process [GO:0042278]	ADP-ribosyl-[dinitrogen reductase] hydrolase activity [GO:0047407]	cytosol [GO:0005829]
O53611	glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53638	cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	acyltransferase activity [GO:0016746]; peptidoglycan L,D-transpeptidase activity [GO:0071972]	extracellular region [GO:0005576]; periplasmic space [GO:0042597]
O53664	fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; 3-hydroxyacyl-CoA dehydratase activity [GO:0018812]; fatty acid synthase activity [GO:0004312]	fatty acid synthase complex [GO:0005835]; plasma membrane [GO:0005886]
O53666	fatty acid metabolic process [GO:0006631]	long-chain fatty acyl-CoA dehydrogenase activity [GO:0004466]; medium-chain fatty acyl-CoA dehydrogenase activity [GO:0070991]; short-chain fatty acyl-CoA dehydrogenase activity [GO:0016937]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O53699	3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]; sulfolipid biosynthetic process [GO:0046506]; trehalose metabolic process [GO:0005991]	3'-phosphoadenosine 5'-phosphosulfate binding [GO:0050656]; protein homodimerization activity [GO:0042803]; sulfotransferase activity [GO:0008146]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53873		3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O53896	cellular response to antibiotic [GO:0071236]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O53901	DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O65934	transmembrane transport [GO:0055085]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	cytosol [GO:0005829]; membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
O69652	cell redox homeostasis [GO:0045454]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; L-cysteine catabolic process to pyruvate [GO:0019450]; positive regulation of cellular respiration [GO:1901857]; regulation of sulfur metabolic process [GO:0042762]	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
O69711		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]	
O69729	phosphorelay signal transduction system [GO:0000160]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]; phosphorelay sensor kinase activity [GO:0000155]; protein homodimerization activity [GO:0042803]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P71590		mRNA binding [GO:0003729]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
P71629	defense response to virus [GO:0051607]	ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; RNA binding [GO:0003723]; transferase activity [GO:0016740]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P71707	cell wall organization [GO:0071555]; cellular response to hypoxia [GO:0071456]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]
P71716	cellular response to iron ion starvation [GO:0010106]; siderophore biosynthetic process [GO:0019290]	acid-thiol ligase activity [GO:0016878]; ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]	
P71778	glycerolipid catabolic process [GO:0046503]	acetylesterase activity [GO:0008126]; beta-lactamase activity [GO:0008800]; triacylglycerol lipase activity [GO:0004806]	plasma membrane [GO:0005886]
P71857	biological process involved in interaction with host [GO:0051701]; cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; response to pH [GO:0009268]	acyl-CoA dehydrogenase activity [GO:0003995]; FAD binding [GO:0071949]	
P71858	biological process involved in interaction with host [GO:0051701]; cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	
P71875	cholesterol catabolic process [GO:0006707]; protein homotrimerization [GO:0070207]; response to cholesterol [GO:0070723]; steroid biosynthetic process [GO:0006694]	2 iron, 2 sulfur cluster binding [GO:0051537]; 3-ketosteroid 9-alpha-monooxygenase activity [GO:0036200]; iron ion binding [GO:0005506]; ketosteroid monooxygenase activity [GO:0047086]	
P71905	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	metal ion binding [GO:0046872]; ribonuclease E activity [GO:0008995]; RNA nuclease activity [GO:0004540]; rRNA binding [GO:0019843]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P95125		acetylesterase activity [GO:0008126]; carboxylesterase activity [GO:0106435]; short-chain carboxylesterase activity [GO:0034338]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P95141	Actinobacterium-type cell wall biogenesis [GO:0071766]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]; phthiocerol biosynthetic process [GO:0097040]	acid-thiol ligase activity [GO:0016878]; adenylyltransferase activity [GO:0070566]; ATP binding [GO:0005524]; ligase activity [GO:0016874]	
P95160	aerobic electron transport chain [GO:0019646]	NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]	plasma membrane [GO:0005886]
P95200	biological process involved in interaction with host [GO:0051701]	NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]; oxidoreductase activity [GO:0016491]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P96202	Actinobacterium-type cell wall biogenesis [GO:0071766]; DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]; phenolic phthiocerol biosynthetic process [GO:0097041]; phthiocerol biosynthetic process [GO:0097040]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; polyketide synthase complex [GO:0034081]
P96264	proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P96277	symbiont-mediated perturbation of host innate immune response [GO:0052167]		cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P96368	phosphorelay signal transduction system [GO:0000160]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; manganese ion binding [GO:0030145]; phosphorelay sensor kinase activity [GO:0000155]; protein kinase activity [GO:0004672]	plasma membrane [GO:0005886]
